,rho,ne,v_phi,Te,E_rho
269,0.001345,0.82251906,-0.00040298769,1.0921905e-06,0.0002696120000000097
270,0.00135,0.82440417,-0.0004027853,1.0910711e-06,0.0002694979999999985
271,0.001355,0.82627755,-0.00040257326,1.0899569e-06,0.00026937600000000064
272,0.00136,0.82813921,-0.00040235167,1.088848e-06,0.00026925199999999554
273,0.001365,0.82998918,-0.00040212067,1.0877445e-06,0.0002691200000000154
274,0.00137,0.83182748,-0.00040188035,1.0866464e-06,0.00026898399999999745
275,0.001375,0.83365415,-0.00040163084,1.0855536e-06,0.00026884199999999055
276,0.00138,0.8354692,-0.00040137225,1.0844662e-06,0.00026869599999999037
277,0.001385,0.83727267,-0.00040110469,1.0833842e-06,0.000268546000000018
278,0.00139,0.83906458,-0.00040082828,1.0823077e-06,0.0002683899999999815
279,0.001395,0.84084496,-0.00040054311,1.0812366e-06,0.00026822800000000794
280,0.0014,0.84261385,-0.0004002493,1.080171e-06,0.00026806400000000595
281,0.001405,0.84437126,-0.00039994696,1.0791108e-06,0.00026789199999999614
282,0.00141,0.84611724,-0.00039963619,1.0780561e-06,0.00026771599999999294
283,0.001415,0.84785182,-0.00039931711,1.0770069e-06,0.00026753599999999644
284,0.00142,0.84957502,-0.00039898981,1.0759632e-06,0.0002673520000000066
285,0.001425,0.85128688,-0.0003986544,1.0749251e-06,0.00026716199999999505
286,0.00143,0.85298743,-0.00039831097,1.0738924e-06,0.0002669680000000113
287,0.001435,0.8546767,-0.00039795965,1.0728653e-06,0.0002667699999999918
288,0.00144,0.85635474,-0.00039760051,1.0718436e-06,0.00026656800000000023
289,0.001445,0.85802158,-0.00039723367,1.0708276e-06,0.00026635800000000077
290,0.00145,0.85967725,-0.00039685923,1.069817e-06,0.0002661480000000023
291,0.001455,0.86132178,-0.00039647727,1.068812e-06,0.00026593200000000133
292,0.00146,0.86295522,-0.0003960879,1.0678126e-06,0.0002657100000000007
293,0.001465,0.8645776,-0.00039569122,1.0668187e-06,0.0002654860000000034
294,0.00147,0.86618896,-0.00039528732,1.0658304e-06,0.0002652559999999949
295,0.001475,0.86778934,-0.00039487629,1.0648476e-06,0.00026502400000000037
296,0.00148,0.86937877,-0.00039445822,1.0638703e-06,0.00026478600000000524
297,0.001485,0.8709573,-0.00039403322,1.0628986e-06,0.0002645459999999923
298,0.00149,0.87252496,-0.00039360136,1.0619325e-06,0.00026429800000000325
299,0.001495,0.8740818,-0.00039316275,1.0609719e-06,0.000264049999999993
300,0.0015,0.87562785,-0.00039271747,1.0600168e-06,0.00026379600000000337
301,0.001505,0.87716316,-0.00039226561,1.0590673e-06,0.0002635379999999992
302,0.00151,0.87868776,-0.00039180726,1.0581233e-06,0.00026327799999999836
303,0.001515,0.8802017,-0.0003913425,1.0571848e-06,0.00026301199999999693
304,0.00152,0.88170502,-0.00039087143,1.0562519e-06,0.0002627420000000022
305,0.001525,0.88319776,-0.00039039412,1.0553245e-06,0.0002624700000000002
306,0.00153,0.88467996,-0.00038991066,1.0544025e-06,0.00026219400000000563
307,0.001535,0.88615167,-0.00038942114,1.0534861e-06,0.0002619140000000056
308,0.00154,0.88761292,-0.00038892564,1.0525752e-06,0.00026163000000000244
309,0.001545,0.88906377,-0.00038842424,1.0516698e-06,0.0002613419999999953
310,0.00155,0.89050426,-0.00038791701,1.0507699e-06,0.0002610520000000021
311,0.001555,0.89193442,-0.00038740405,1.0498755e-06,0.0002607559999999978
312,0.00156,0.89335431,-0.00038688543,1.0489865e-06,0.0002604579999999968
313,0.001565,0.89476396,-0.00038636123,1.0481029e-06,0.00026015799999999905
314,0.00157,0.89616343,-0.00038583153,1.0472249e-06,0.0002598520000000008
315,0.001575,0.89755275,-0.00038529641,1.0463522e-06,0.00025954399999999524
316,0.00158,0.89893198,-0.00038475593,1.045485e-06,0.00025923200000000697
317,0.001585,0.90030115,-0.00038421018,1.0446232e-06,0.00025891799999999026
318,0.00159,0.90166031,-0.00038365924,1.0437668e-06,0.0002586000000000014
319,0.001595,0.90300952,-0.00038310317,1.0429157e-06,0.000258277999999998
320,0.0016,0.9043488,-0.00038254205,1.0420701e-06,0.0002579520000000013
321,0.001605,0.90567822,-0.00038197595,1.0412298e-06,0.00025762600000000456
322,0.00161,0.90699781,-0.00038140494,1.0403949e-06,0.00025729599999999334
323,0.001615,0.90830762,-0.0003808291,1.0395653e-06,0.00025696000000001386
324,0.00162,0.9096077,-0.0003802485,1.038741e-06,0.00025662400000000147
325,0.001625,0.9108981,-0.0003796632,1.0379221e-06,0.000256285999999993
326,0.00163,0.91217886,-0.00037907327,1.0371084e-06,0.0002559400000000084
327,0.001635,0.91345002,-0.00037847879,1.0363e-06,0.0002555959999999994
328,0.00164,0.91471164,-0.00037787981,1.0354969e-06,0.0002552459999999897
329,0.001645,0.91596376,-0.00037727641,1.034699e-06,0.0002548960000000012
330,0.00165,0.91720643,-0.00037666865,1.0339064e-06,0.00025454199999999823
331,0.001655,0.9184397,-0.00037605661,1.033119e-06,0.00025418200000000524
332,0.00166,0.91966361,-0.00037544033,1.0323368e-06,0.0002538239999999983
333,0.001665,0.9208782,-0.00037481989,1.0315598e-06,0.0002534619999999981
334,0.00167,0.92208354,-0.00037419535,1.030788e-06,0.00025309600000000446
335,0.001675,0.92327966,-0.00037356677,1.0300213e-06,0.00025272799999999303
336,0.00168,0.92446661,-0.00037293422,1.0292598e-06,0.00025235799999999555
337,0.001685,0.92564445,-0.00037229776,1.0285034e-06,0.0002519840000000047
338,0.00169,0.92681321,-0.00037165744,1.0277521e-06,0.000251607999999996
339,0.001695,0.92797294,-0.00037101333,1.0270059e-06,0.00025123000000001216
340,0.0017,0.9291237,-0.00037036548,1.0262648e-06,0.00025084999999999924
341,0.001705,0.93026553,-0.00036971397,1.0255287e-06,0.0002504660000000039
