radius	number_density	azimuthal_velocity	temperature	radial_electric_field
0.00586	1.0096838	-7.6002781e-06	9.9368317e-07	1.2343132606073747e-05
0.005865	1.0096437	-7.545367e-06	9.9372172e-07	1.2284447171198983e-05
0.00587	1.0096038	-7.4908051e-06	9.9376009e-07	1.2226020187039363e-05
0.005875	1.009564	-7.4365908e-06	9.9379826e-07	1.2167850833295182e-05
0.00588	1.0095243	-7.382722e-06	9.9383626e-07	1.2109938291181362e-05
0.005885	1.0094848	-7.329197e-06	9.9387406e-07	1.2052281243421022e-05
0.00589	1.0094453	-7.276014e-06	9.9391168e-07	1.199487937466351e-05
0.005895	1.0094061	-7.2231711e-06	9.9394912e-07	1.1937730870628088e-05
0.0059	1.0093669	-7.1706666e-06	9.9398637e-07	1.1880835419370538e-05
0.005905	1.0093279	-7.1184986e-06	9.9402344e-07	1.1824191710003198e-05
0.00591	1.009289	-7.0666654e-06	9.9406033e-07	1.1767798933536482e-05
0.005915	1.0092503	-7.0151652e-06	9.9409704e-07	1.171165578244827e-05
0.00592	1.0092116	-6.9639962e-06	9.9413356e-07	1.1655761951099914e-05
0.005925	1.0091732	-6.9131565e-06	9.941699e-07	1.1600115634884486e-05
0.00593	1.0091348	-6.8626446e-06	9.9420606e-07	1.1544716531487135e-05
0.005935	1.0090966	-6.8124585e-06	9.9424204e-07	1.1489563339611793e-05
0.00594	1.0090585	-6.7625966e-06	9.9427784e-07	1.143465525981858e-05
0.005945	1.0090205	-6.7130572e-06	9.9431347e-07	1.1379991494095516e-05
0.00595	1.0089827	-6.6638383e-06	9.9434891e-07	1.1325570745852495e-05
0.005955	1.008945	-6.6149385e-06	9.9438418e-07	1.1271392220335182e-05
0.00596	1.0089074	-6.5663558e-06	9.9441927e-07	1.1217455124197782e-05
0.005965	1.0088699	-6.5180886e-06	9.9445418e-07	1.1163758665497171e-05
0.00597	1.0088326	-6.4701352e-06	9.9448891e-07	1.1110301553687032e-05
0.005975	1.0087954	-6.4224939e-06	9.9452347e-07	1.105708300003039e-05
0.00598	1.0087584	-6.375163e-06	9.9455786e-07	1.1004101717174034e-05
0.005985	1.0087214	-6.3281408e-06	9.9459207e-07	1.0951357419560395e-05
0.00599	1.0086846	-6.2814255e-06	9.9462611e-07	1.0898848822585358e-05
0.005995	1.0086479	-6.2350156e-06	9.9465997e-07	1.0846575143428303e-05
0.006	1.0086114	-6.1889094e-06	9.9469366e-07	1.0794535100628033e-05
0.006005	1.008575	-6.1431052e-06	9.9472718e-07	1.0742727914493394e-05
0.00601	1.0085387	-6.0976013e-06	9.9476053e-07	1.069115280667996e-05
0.006015	1.0085025	-6.0523961e-06	9.947937e-07	1.0639809000184425e-05
0.00602	1.0084665	-6.0074879e-06	9.9482671e-07	1.0588695219339077e-05
0.006025	1.0084305	-5.9628751e-06	9.9485954e-07	1.053781119022112e-05
0.00603	1.0083948	-5.9185561e-06	9.9489221e-07	1.048715513981631e-05
0.006035	1.0083591	-5.8745293e-06	9.949247e-07	1.0436726797257912e-05
0.00604	1.0083236	-5.830793e-06	9.9495703e-07	1.0386524892576125e-05
0.006045	1.0082881	-5.7873456e-06	9.9498919e-07	1.0336549157521454e-05
0.00605	1.0082528	-5.7441855e-06	9.9502119e-07	1.0286798324731187e-05
0.006055	1.0082177	-5.7013112e-06	9.9505301e-07	1.0237271128551488e-05
0.00606	1.0081826	-5.6587209e-06	9.9508467e-07	1.0187967305030345e-05
0.006065	1.0081477	-5.6164132e-06	9.9511617e-07	1.0138885591086178e-05
0.00607	1.0081129	-5.5743865e-06	9.951475e-07	1.0090025225327933e-05
0.006075	1.0080783	-5.5326391e-06	9.9517867e-07	1.004138494763663e-05
0.00608	1.0080437	-5.4911696e-06	9.9520967e-07	9.992964499571308e-06
0.006085	1.0080093	-5.4499764e-06	9.9524051e-07	9.944762623540463e-06
0.00609	1.007975	-5.4090578e-06	9.9527118e-07	9.896778563619536e-06
0.006095	1.0079408	-5.3684124e-06	9.953017e-07	9.849011565133933e-06
0.0061	1.0079068	-5.3280386e-06	9.9533205e-07	9.80146037465389e-06
0.006105	1.0078728	-5.287935e-06	9.9536224e-07	9.7541247403989e-06
0.00611	1.007839	-5.2480999e-06	9.9539228e-07	9.707003411412592e-06
0.006115	1.0078053	-5.2085318e-06	9.9542215e-07	9.660095638377052e-06
0.00612	1.0077718	-5.1692293e-06	9.9545186e-07	9.613400173197633e-06
0.006125	1.0077383	-5.1301908e-06	9.9548142e-07	9.566916769406107e-06
0.00613	1.007705	-5.0914148e-06	9.9551081e-07	9.520644181338406e-06
0.006135	1.0076718	-5.0528998e-06	9.9554005e-07	9.4745816649463e-06
0.00614	1.0076387	-5.0146444e-06	9.9556913e-07	9.428728477383678e-06
0.006145	1.0076057	-4.976647e-06	9.9559806e-07	9.383083877001635e-06
0.00615	1.0075729	-4.9389062e-06	9.9562683e-07	9.337646623343653e-06
0.006155	1.0075402	-4.9014206e-06	9.9565544e-07	9.292415977546869e-06
0.00616	1.0075076	-4.8641885e-06	9.956839e-07	9.247391201929803e-06
0.006165	1.0074751	-4.8272087e-06	9.9571221e-07	9.202571559987549e-06
0.00617	1.0074427	-4.7904796e-06	9.9574036e-07	9.15795631638704e-06
0.006175	1.0074105	-4.7539998e-06	9.9576836e-07	9.113544236962258e-06
0.00618	1.0073783	-4.7177679e-06	9.9579621e-07	9.069335089114067e-06
0.006185	1.0073463	-4.6817823e-06	9.958239e-07	9.025327640995468e-06
0.00619	1.0073144	-4.6460418e-06	9.9585145e-07	8.981521162316342e-06
0.006195	1.0072826	-4.6105449e-06	9.9587884e-07	8.937914923933567e-06
0.0062	1.007251	-4.5752902e-06	9.9590609e-07	8.894507697846424e-06
0.006205	1.0072194	-4.5402762e-06	9.9593318e-07	8.851299257594891e-06
0.00621	1.007188	-4.5055015e-06	9.9596013e-07	8.80828837744828e-06
0.006215	1.0071567	-4.4709649e-06	9.9598692e-07	8.765474333206837e-06
0.00622	1.0071255	-4.4366648e-06	9.9601357e-07	8.722856401793611e-06
